t,est_vx_w,est_vy_w,est_vz_w,gt_vx_w,gt_vy_w,gt_vz_w,est_vx_b,est_vy_b,est_vz_b,gt_vx_b,gt_vy_b,gt_vz_b,est_raw_vx_w,est_raw_vy_w,est_raw_vz_w
0.0,0.0004443001816980541,-5.542069629882462e-06,0.0005324929370544851,0.0,0.0,0.0,0.00044429971603676677,-5.53753852727823e-06,0.0005324933445081115,0.0,0.0,0.0,0.000361219746991992,-5.541251084650867e-06,0.000532492995262146
0.005000000004656613,0.0004474806773941964,-5.564112598221982e-06,0.0005690631223842502,1.107681613099487e-09,-8.671426243722635e-09,-2.7434163030193304e-07,0.0004474801826290786,-5.5595401136088185e-06,0.0005690635880455375,1.1080375597906872e-09,-8.671493661526646e-09,-2.7434162673357286e-07,0.0004491350846365094,-6.9063362388988025e-06,0.0010444760555401444
0.00999999999476131,0.0004472936561796814,-5.607422735920409e-06,0.0006369792972691357,1.107681613099487e-09,-8.671426243722635e-09,-2.7434163030193304e-07,0.0004472930741030723,-5.602832516160561e-06,0.0006369797047227621,1.1080375575020462e-09,-8.671493661211434e-09,-2.743416267335921e-07,0.000298448110697791,-7.2801208261807915e-06,0.0012709524016827345
0.014999999999417923,0.000444846780737862,-5.6553676586190704e-06,0.0007113699684850872,1.1055397708403802e-09,-8.665621109571475e-09,-2.7180917072655575e-07,0.0004448461113497615,-5.650780167343328e-06,0.0007113704341463745,1.105893158928371e-09,-8.665687824680443e-09,-2.718091671620067e-07,0.0001582370459800586,-7.389498932752758e-06,0.0013536438345909119
0.01900000000023283,0.0004411441332194954,-5.697585038433317e-06,0.0007772031822241843,1.1055397708403802e-09,-8.665621109571475e-09,-2.7180917072655575e-07,0.00044114343472756445,-5.693014827556908e-06,0.0007772036478854716,1.1058931566558105e-09,-8.665687824245234e-09,-2.718091671620299e-07,7.392241968773305e-05,-7.4277609201089945e-06,0.0013814688427373767
0.024999999994179234,0.00042394563206471503,-5.7626175475888886e-06,0.0008732766145840287,1.1044848369223814e-09,-8.662619066512889e-09,-2.7055270379605645e-07,0.00042394481715746224,-5.758189672633307e-06,0.0008732770220376551,1.1048369521672824e-09,-8.662685432322619e-09,-2.705527002334534e-07,3.116789957857691e-05,-7.446879862982314e-06,0.0013903786893934011
0.029999999998835847,0.00040435619303025305,-5.816265911562368e-06,0.0009458754793740809,1.103440561145419e-09,-8.659551298251245e-09,-2.693026601718884e-07,0.00040435531991533935,-5.812010385852773e-06,0.0009458758868277073,1.1037914115281068e-09,-8.659617316869027e-09,-2.693026566112185e-07,1.1395238288969267e-05,-7.460835149686318e-06,0.0013931265566498041
0.03900000000430737,0.00036734298919327557,-5.90843046666123e-06,0.001048453152179718,1.1013830958361837e-09,-8.653223915189301e-09,-2.6682155862545187e-07,0.00036734199966304004,-5.904510544496588e-06,0.0010484535014256835,1.1017314334819626e-09,-8.65328924434753e-09,-2.6682155506867836e-07,2.766237230389379e-06,-7.482205546693876e-06,0.0013939297059550881
0.04499999999825377,0.0003426922776270658,-5.9680428421415854e-06,0.0011058986419811845,1.0993661536673471e-09,-8.646646953991421e-09,-2.643654113398952e-07,0.0003426912589929998,-5.9643493841576856e-06,0.00110589899122715,1.0997120029203743e-09,-8.646711600990663e-09,-2.643654077870225e-07,-8.609601991338423e-07,-7.49666332922061e-06,0.0013941540382802486
0.05000000000291038,0.00032273406395688653,-6.0168072195665445e-06,0.0011470458703115582,1.0983725040603076e-09,-8.643267435104462e-09,-2.631465179092629e-07,0.00032273298711515963,-6.0132988437544554e-06,0.0011470462195575237,1.0987171162735136e-09,-8.643331743069663e-09,-2.631465143583705e-07,-2.3426348434441024e-06,-7.50926255932427e-06,0.0013942061923444271
0.05400000000372529,0.0003073153493460268,-6.0551824390131515e-06,0.0011761174537241459,1.0983725040603076e-09,-8.643267435104462e-09,-2.631465179092629e-07,0.0003073142434004694,-6.0518177633639425e-06,0.0011761176865547895,1.0987171162735136e-09,-8.643331743069663e-09,-2.631465143583705e-07,-2.3426348434441024e-06,-7.50926255932427e-06,0.0013942061923444271
0.059999999997671694,0.00028567371191456914,-6.1110208662285e-06,0.001212465576827526,1.0973885133935823e-09,-8.639828408263384e-09,-2.619336783027393e-07,0.0002856725768651813,-6.107858553150436e-06,0.0012124658096581697,1.0977318939783002e-09,-8.639892378766969e-09,-2.619336747538367e-07,-2.933114046754781e-06,-7.521342922700569e-06,0.00139420828782022
0.06900000000314321,0.0002564939786680043,-6.190048679854954e-06,0.0012544055934995413,1.0964142926894738e-09,-8.636329873468185e-09,-2.6072680725519604e-07,0.000256492814514786,-6.187162398418877e-06,0.001254405826330185,1.0967564449296187e-09,-8.6363935070642e-09,-2.6072680370833445e-07,-3.1545612273475854e-06,-7.541958439105656e-06,0.0013941836077719927
0.07499999999708962,0.00023834733292460442,-6.241176834009821e-06,0.001277705654501915,1.0944939399237796e-09,-8.629162273621205e-09,-2.583308003067941e-07,0.0002383461396675557,-6.23846290181973e-06,0.0012777058873325586,1.094833657475824e-09,-8.629225241003882e-09,-2.583307967639171e-07,-3.236631300751469e-06,-7.556070613645716e-06,0.0013941642828285694
0.08000000000174623,0.0002240986650576815,-6.28307770966785e-06,0.001294345362111926,1.0944939399237796e-09,-8.629162273621205e-09,-2.583308003067941e-07,0.00022409744269680232,-6.280499292188324e-06,0.0012943455949425697,1.0948336554989794e-09,-8.629225239877422e-09,-2.583307967639631e-07,-3.263005510234507e-06,-7.568440651084529e-06,0.0013941465876996517
0.08400000000256114,0.00021323771215975285,-6.316096005321015e-06,0.0013060887577012181,1.0935476968398916e-09,-8.625494984926263e-09,-2.571415507190977e-07,0.00021323648979887366,-6.3136212702374905e-06,0.0013060889905318618,1.0938862019686788e-09,-8.625557619786384e-09,-2.5714154717829523e-07,-3.267409738327842e-06,-7.5803231993631925e-06,0.0013941293582320213
0.08999999999650754,0.00019808064098469913,-6.364199180097785e-06,0.0013207650044932961,1.0926105575848055e-09,-8.62177174099088e-09,-2.5595804231670627e-07,0.00019807940407190472,-6.3618695094191935e-06,0.0013207652373239398,1.09294785738793e-09,-8.621834045943182e-09,-2.559580387779418e-07,-3.2632599413773278e-06,-7.592052043037256e-06,0.0013941122451797128
0.09500000000116415,0.00018619273032527417,-6.403377938113408e-06,0.0013312456430867314,1.0916824111362189e-09,-8.617995206350315e-09,-2.547802182562009e-07,0.00018619149341247976,-6.40116286376724e-06,0.001331245875917375,1.0920185107413152e-09,-8.618057182875118e-09,-2.5478021471948275e-07,-3.2558000384597108e-06,-7.603713584103389e-06,0.0013940951321274042
0.10000000000582077,0.0001750041265040636,-6.441674486268312e-06,0.0013402265030890703,1.0907631464718293e-09,-8.614164492826148e-09,-2.536080785375816e-07,0.00017500286048743874,-6.439566732296953e-06,0.001340226735919714,1.0910980509683914e-09,-8.614226142398472e-09,-2.536080750029189e-07,-3.247070708312094e-06,-7.615329195687082e-06,0.0013940782519057393
0.10499999999592546,0.0001644741860218346,-6.479113835666794e-06,0.001347922021523118,1.0898525415470317e-09,-8.610283153132059e-09,-2.5244150947401067e-07,0.00016447292000520974,-6.477107945102034e-06,0.0013479222543537617,1.0901862559473504e-09,-8.610344477197568e-09,-2.524415059414117e-07,-3.237890723539749e-06,-7.626907063240651e-06,0.0013940612552687526
0.11100000000442378,0.00015272057498805225,-6.522764124383684e-06,0.0013556147459894419,1.0889507073841287e-09,-8.606349410911207e-09,-2.5128045422206924e-07,0.00015271930897142738,-6.520871920656646e-06,0.0013556148624047637,1.0892832366475426e-09,-8.606410410892994e-09,-2.512804506915428e-07,-3.228531113563804e-06,-7.63845946494257e-06,0.0013940443750470877
0.11999999999534339,0.00013687416503671557,-6.585195478692185e-06,0.0013644869904965162,1.086295942087645e-09,-8.594251532656472e-09,-2.478300871189276e-07,0.00013687288446817547,-6.583456524822395e-06,0.001364487106911838,1.086624947344136e-09,-8.59431157062928e-09,-2.478300835945999e-07,-3.2123161872732453e-06,-7.65837376093259e-06,0.0013940153876319528
0.1260000000038417,0.00012704773689620197,-6.625662990700221e-06,0.0013694132212549448,1.086295942087645e-09,-8.594251532656472e-09,-2.478300871189276e-07,0.00012704645632766187,-6.624019533774117e-06,0.0013694133376702666,1.0866249455562017e-09,-8.594311568922372e-09,-2.4783008359466694e-07,-3.2011166695156135e-06,-7.672038918826729e-06,0.0013939954806119204
0.1309999999939464,0.00011934190115425736,-6.658942311332794e-06,0.0013729277998209,1.0854276366600857e-09,-8.590122391183286e-09,-2.466907176312816e-07,0.00011934061330975965,-6.657374342466937e-06,0.0013729279162362218,1.0857554745752094e-09,-8.590182109001305e-09,-2.4669071410912547e-07,-3.191307087035966e-06,-7.684024240006693e-06,0.0013939779018983245
0.1349999999947613,0.00011347144754836336,-6.6852308009401895e-06,0.0013754063984379172,1.0837152286669038e-09,-8.581724664225021e-09,-2.444277811264328e-07,0.00011347015970386565,-6.683719675493194e-06,0.001375406514853239,1.0840407514927698e-09,-8.581783751151336e-09,-2.444277776084345e-07,-3.181890178893809e-06,-7.695537533436436e-06,0.0013939611380919814
0.14199999999254942,0.00010402571206213906,-6.7297219175088685e-06,0.001378919929265976,1.0828709040566764e-09,-8.577457855096782e-09,-2.4330410042239237e-07,0.00010402441694168374,-6.728302651026752e-06,0.0013789200456812978,1.0831952755105043e-09,-8.577516627712071e-09,-2.433040969065191e-07,-3.1725940061733127e-06,-7.706898031756282e-06,0.0013939444907009602
0.14999999999417923,9.421300637768582e-05,-6.778581337130163e-06,0.0013820864260196686,1.0820344620299238e-09,-8.573146637047557e-09,-2.4218559246946825e-07,9.421171125723049e-05,-6.777258022339083e-06,0.0013820865424349904,1.082357685151966e-09,-8.573205094666325e-09,-2.421855889558065e-07,-3.1566557936457684e-06,-7.726465810264926e-06,0.0013939160853624344
0.15499999999883585,8.844150579534471e-05,-6.808501439081738e-06,0.0013837805017828941,1.0812057915643436e-09,-8.568792786434187e-09,-2.410722004242416e-07,8.844021067488939e-05,-6.807234512962168e-06,0.0013837805017828941,1.0815278726622152e-09,-8.568850932349753e-09,-2.410721969127218e-07,-3.145698201478808e-06,-7.739869033684954e-06,0.0013938964111730456
0.16000000000349246,8.301065099658445e-05,-6.838089120719815e-06,0.0013852283591404557,1.0803846706153308e-09,-8.564396303256672e-09,-2.3996383902158414e-07,8.300935587612912e-05,-6.836875400040299e-06,0.0013852284755557775,1.0807056142722975e-09,-8.564454138774381e-09,-2.3996383551221334e-07,-3.1360982575279195e-06,-7.751620614726562e-06,0.001393879298120737
0.16999999999825377,7.335730333579704e-05,-6.8944086706324015e-06,0.0013873954303562641,1.0779661607784874e-09,-8.550961716480288e-09,-2.3666868287364196e-07,7.335600821534172e-05,-6.89328953740187e-06,0.0013873954303562641,1.07828372094055e-09,-8.551018630928066e-09,-2.3666867937066722e-07,-3.120283508906141e-06,-7.77106197347166e-06,0.0013938510091975331
0.1760000000067521,6.797021342208609e-05,-6.927354661456775e-06,0.0013884759973734617,1.0771746827842321e-09,-8.546404473008806e-09,-2.3558011719160277e-07,6.796891102567315e-05,-6.926288278918946e-06,0.0013884761137887836,1.0774911235192583e-09,-8.546461082264256e-09,-2.355801136908013e-07,-3.109439376203227e-06,-7.784336048644036e-06,0.0013938316842541099
0.1849999999976717,6.070868403185159e-05,-6.9750799411849584e-06,0.0013897164026275277,1.0756130430777944e-09,-8.537176299228122e-09,-2.334174951101886e-07,6.070738163543865e-05,-6.974084953981219e-06,0.0013897165190428495,1.075927258253252e-09,-8.53723230187608e-09,-2.334174916137525e-07,-3.0934425012674183e-06,-7.804034794389736e-06,0.0013938029296696186
0.1900000000023283,5.691259138984606e-05,-7.001167887210613e-06,0.0013903043000027537,1.0756130430777944e-09,-8.537176299228122e-09,-2.334174951101886e-07,5.691128899343312e-05,-7.000210189289646e-06,0.0013903043000027537,1.0759272567548179e-09,-8.537232299333165e-09,-2.334174916138524e-07,-3.082626562900259e-06,-7.817283403710462e-06,0.0013937836047261953
0.1959999999962747,5.267646338324994e-05,-7.032028406683821e-06,0.0013908874243497849,1.074842881365612e-09,-8.532507145275758e-09,-2.3234333923483064e-07,5.2675160986837e-05,-7.031112545519136e-06,0.0013908874243497849,1.0751559888179913e-09,-8.532562843870327e-09,-2.3234333574068894e-07,-3.0732435334357433e-06,-7.828807611076627e-06,0.0013937667245045304
0.20500000000174623,4.6966179070295766e-05,-7.076451765897218e-06,0.0013915557647123933,1.0725732524363707e-09,-8.518290073311618e-09,-2.2914906594451168e-07,4.696487667388283e-05,-7.075591838656692e-06,0.0013915557647123933,1.0728830699921351e-09,-8.518344880224096e-09,-2.2914906245677022e-07,-3.0642554520454723e-06,-7.83984887675615e-06,0.0013937506591901183
0.21899999999732245,3.940817987313494e-05,-7.140645266190404e-06,0.0013922592625021935,1.0718302911882915e-09,-8.513483251704201e-09,-2.2809358313224948e-07,3.9406877476722e-05,-7.139859462768072e-06,0.0013922592625021935,1.0721390196584445e-09,-8.513537762088909e-09,-2.2809357964671996e-07,-3.0554017484973883e-06,-7.850750989746302e-06,0.0013937348267063498
0.22900000000663567,3.461067899479531e-05,-7.1843242039904e-06,0.0013926321407780051,1.0718302911882915e-09,-8.513483251704201e-09,-2.2809358313224948e-07,3.460937659838237e-05,-7.18358569429256e-06,0.0013926321407780051,1.072139018251648e-09,-8.513537759311589e-09,-2.2809357964683024e-07,-3.0466223961411742e-06,-7.86156397225568e-06,0.0013937189942225814
0.23600000000442378,3.1523508368991315e-05,-7.214023753476795e-06,0.001392840757034719,1.0718302911882915e-09,-8.513483251704201e-09,-2.2809358313224948e-07,3.1522205972578377e-05,-7.213315711851465e-06,0.001392840757034719,1.072139018251648e-09,-8.513537759311589e-09,-2.2809357964683024e-07,-3.0466223961411742e-06,-7.86156397225568e-06,0.0013937189942225814
0.2449999999953434,2.7956763005931862e-05,-7.250660928548314e-06,0.0013930434361100197,1.0703639086173666e-09,-8.50377457339846e-09,-2.259962883499611e-07,2.7955460609518923e-05,-7.249987902469002e-06,0.0013930434361100197,1.07067046875954e-09,-8.503828488415279e-09,-2.259962848691052e-07,-3.0251908356149215e-06,-7.888078471296467e-06,0.0013936805771663785
0.2489999999961583,2.6447029085829854e-05,-7.266521606652532e-06,0.0013931228313595057,1.0696403762722184e-09,-8.498874493056974e-09,-2.2495440532566136e-07,2.644572850840632e-05,-7.265863587235799e-06,0.0013931229477748275,1.069945859924872e-09,-8.498928114965248e-09,-2.2495440184703812e-07,-3.0131141102174297e-06,-7.902928700787015e-06,0.0013936589239165187
0.2550000000046566,2.434226371406112e-05,-7.2904181251942646e-06,0.0013932158472016454,1.068212518440248e-09,-8.488984626353613e-09,-2.2288399748049414e-07,2.4340963136637583e-05,-7.289781024155673e-06,0.0013932158472016454,1.0685158627569743e-09,-8.489037668685352e-09,-2.2288399400622427e-07,-3.0035671443329193e-06,-7.91467846283922e-06,0.0013936416944488883
0.2599999999947613,2.2692340280627832e-05,-7.310169166885316e-06,0.0013932790607213974,1.0675078598865184e-09,-8.483996616348577e-09,-2.2185541581620782e-07,2.2691039703204297e-05,-7.3095479820040055e-06,0.0013932791771367192,1.0678101400177226e-09,-8.484049369104315e-09,-2.2185541234418213e-07,-2.994736405526055e-06,-7.92555420048302e-06,0.0013936258619651198
0.27000000000407454,1.9760449504246935e-05,-7.347937753365841e-06,0.0013933697482571006,1.0668095296040292e-09,-8.47898196099095e-09,-2.2083118267346435e-07,1.97591489268234e-05,-7.347345672314987e-06,0.0013933697482571006,1.067110748309901e-09,-8.479034422018865e-09,-2.208311792038192e-07,-2.979921646328876e-06,-7.943906894070096e-06,0.0013935993192717433
0.27499999999417923,1.838137541199103e-05,-7.36656420485815e-06,0.0013934063026681542,1.0661170835035705e-09,-8.473939772102312e-09,-2.1981128384140902e-07,1.8380074834567495e-05,-7.365985766227823e-06,0.001393406419083476,1.066417246099597e-09,-8.473991945759186e-09,-2.1981128037401962e-07,-2.9697484933421947e-06,-7.95646155893337e-06,0.0013935810420662165
0.27899999999499414,1.7331518392893486e-05,-7.381554951280123e-06,0.0013934290036559105,1.0654308546520497e-09,-8.468872714217923e-09,-2.1879567668747768e-07,1.733021781546995e-05,-7.3809869718388654e-06,0.0013934291200712323,1.0657299651364438e-09,-8.468924601622348e-09,-2.1879567322234774e-07,-2.9608347631437937e-06,-7.96747008280363e-06,0.0013935649767518044
0.28500000000349246,1.5867475667619146e-05,-7.403660220006714e-06,0.0013934543821960688,1.064750398960257e-09,-8.463779899159363e-09,-2.1778434700081561e-07,1.5866176909185015e-05,-7.403106337733334e-06,0.0013934543821960688,1.065048461325441e-09,-8.463831501432068e-09,-2.177843435379494e-07,-2.9522950626414968e-06,-7.978016583365388e-06,0.0013935496099293232
0.28999999999359716,1.4719853425049223e-05,-7.421842383337207e-06,0.0013934702146798372,1.0640759384727971e-09,-8.45866310328347e-09,-2.1677723793800396e-07,1.4718552847625688e-05,-7.4212998697476e-06,0.0013934702146798372,1.0643729566876504e-09,-8.458714421525681e-09,-2.1677723447740496e-07,-2.9438901947287377e-06,-7.988423021743074e-06,0.0013935345923528075
0.29499999999825377,1.3640355064126197e-05,-7.439778528350871e-06,0.0013934815069660544,1.0634072511450654e-09,-8.453523214768666e-09,-2.15774335288188e-07,1.3639054486702662e-05,-7.439246473950334e-06,0.0013934815069660544,1.063703229108335e-09,-8.453574250076378e-09,-2.1577433182986022e-07,-2.9355289825616637e-06,-7.99876761448104e-06,0.0013935195747762918
0.3000000000029104,1.262496425624704e-05,-7.457471838279162e-06,0.0013934890739619732,1.0627443369770617e-09,-8.448360233614949e-09,-2.1477561062965833e-07,1.2623664588318206e-05,-7.456950243067695e-06,0.0013934890739619732,1.063039279803337e-09,-8.448410990715519e-09,-2.147756071734564e-07,-2.9355289825616637e-06,-7.99876761448104e-06,0.0013935195747762918
0.3059999999968568,1.1492223165987525e-05,-7.478285624529235e-06,0.0013934941962361336,1.0614353840310287e-09,-8.437969434282877e-09,-2.1279055317791062e-07,1.1490923498058692e-05,-7.4777749432541896e-06,0.0013934941962361336,1.0617282658565884e-09,-8.438019631069081e-09,-2.1279054972626193e-07,-2.9211635137471603e-06,-8.016624633455649e-06,0.0013934936141595244
0.3110000000015134,1.060379872797057e-05,-7.495071258745156e-06,0.0013934978051111102,1.0614353840310287e-09,-8.437969434282877e-09,-2.1279055317791062e-07,1.0602499060041737e-05,-7.4945692176697776e-06,0.0013934978051111102,1.0617282647067163e-09,-8.43801962732383e-09,-2.127905497264162e-07,-2.912620630013407e-06,-8.027247531572357e-06,0.0012071282835677266
0.319999999992433,9.16813405638095e-06,-7.524586180807091e-06,0.0013934968737885356,1.0601487465677906e-09,-8.427496922536193e-09,-2.108218382090854e-07,9.166835297946818e-06,-7.524098691646941e-06,0.0013934968737885356,1.0604395827432927e-09,-8.427546563287222e-09,-2.108218347620022e-07,-2.9030898076598532e-06,-8.039031854423229e-06,0.001379706198349595
0.3249999999970896,8.41809105622815e-06,-7.540799288108246e-06,0.0013933470472693443,1.0601487465677906e-09,-8.427496922536193e-09,-2.108218382090854e-07,8.416792297794018e-06,-7.54031907490571e-06,0.0013933470472693443,1.0604395816463575e-09,-8.427546559433526e-09,-2.108218347621618e-07,-2.8944516543560894e-06,-8.049712050706148e-06,0.0013924484374001622
0.33500000000640284,7.085960987751605e-06,-7.571932655991986e-06,0.0013931223656982183,1.0588838694758351e-09,-8.416948915623834e-09,-2.088692241386525e-07,7.084662684064824e-06,-7.571466085209977e-06,0.0013931223656982183,1.0591726741532642e-09,-8.416998000602237e-09,-2.088692206963106e-07,-2.88024216388294e-06,-8.067398084676825e-06,0.0013933454174548388
0.33999999999650754,6.4597002165101e-06,-7.587341769976774e-06,0.0013930260902270675,1.0582593690244835e-09,-8.411648266815064e-09,-2.0789887855698908e-07,6.4584019128233194e-06,-7.586881565657677e-06,0.0013930260902270675,1.058547164139705e-09,-8.411697077400412e-09,-2.0789887511694184e-07,-2.870523985620821e-06,-8.079444342001807e-06,0.0013933961745351553
0.34500000000116415,5.8713062571769115e-06,-7.6028250077797566e-06,0.0013930717250332236,1.05764019764365e-09,-8.406331630794739e-09,-2.069324978037912e-07,5.8700084082374815e-06,-7.602369805681519e-06,0.0013930717250332236,1.0579269869817347e-09,-8.40638016802506e-09,-2.069324943660407e-07,-2.862022711269674e-06,-8.089980838121846e-06,0.0013933865120634437
0.35499999999592546,4.82660107081756e-06,-7.632608685526066e-06,0.0013931442517787218,1.0564173980043279e-09,-8.395650397119425e-09,-2.0501146025253547e-07,4.825303676625481e-06,-7.632163942616899e-06,0.0013931442517787218,1.0567021869194375e-09,-8.395698390731351e-09,-2.0501145681938468e-07,-2.848044914571801e-06,-8.107409485091921e-06,0.0013933619484305382
0.3600000000005821,4.335590347182006e-06,-7.64735978009412e-06,0.0013931753346696496,1.0558136587235367e-09,-8.390288463999696e-09,-2.0405674661105877e-07,4.3342929529899266e-06,-7.646920494153164e-06,0.0013931753346696496,1.056097452962704e-09,-8.390336187334645e-09,-2.040567431802102e-07,-2.838483624145738e-06,-8.119282028928865e-06,0.0013933448353782296
0.3650000000052387,3.874473804899026e-06,-7.662198186153546e-06,0.001393201993778348,1.0552149154463564e-09,-8.38491232002525e-09,-2.031058841112099e-07,3.873176410706947e-06,-7.661763447686099e-06,0.001393201993778348,1.0554977186989734e-09,-8.384959774095298e-09,-2.0310588068266547e-07,-2.8301274141995236e-06,-8.129664820444304e-06,0.001393329817801714
0.3699999999953434,3.44117370332242e-06,-7.676940185774583e-06,0.0013932224828749895,1.0546211681727868e-09,-8.37952285337451e-09,-2.021588443312794e-07,3.439876309130341e-06,-7.676509994780645e-06,0.0013932224828749895,1.0549029840932383e-09,-8.379570039183481e-09,-2.0215884090504081e-07,-2.8220961212355178e-06,-8.139644705806859e-06,0.0013933153823018074
0.3760000000038417,2.958206778203021e-06,-7.694350642850623e-06,0.001393240294419229,1.0540324169028281e-09,-8.374120952225894e-09,-2.0121559884955786e-07,2.956909611384617e-06,-7.693924999330193e-06,0.001393240294419229,1.0543132491033137e-09,-8.374167870778923e-09,-2.0121559542562639e-07,-2.8142112569184974e-06,-8.149466339091305e-06,0.0013933011796325445
0.3849999999947613,2.3080142455000896e-06,-7.71955274103675e-06,0.0013932576403021812,1.0528694582845333e-09,-8.363284287327133e-09,-1.9934039130475867e-07,2.306717533429037e-06,-7.719133463979233e-06,0.0013932576403021812,1.0531483339334585e-09,-8.363330674354922e-09,-1.9934038788544402e-07,-2.8006868433294585e-06,-8.166371117113158e-06,0.0013932768488302827
0.3899999999994179,1.9686149244080298e-06,-7.73341889725998e-06,0.00139326392672956,1.0522951399138947e-09,-8.357850411755408e-09,-1.9840838660911686e-07,1.967318212336977e-06,-7.73300325818127e-06,0.00139326392672956,1.0525730426821874e-09,-8.35789653450055e-09,-1.98408383192112e-07,-2.7913570193049964e-06,-8.17797081253957e-06,0.0013932600850239396
0.39500000000407454,1.6501587651873706e-06,-7.747384188405704e-06,0.0013932657893747091,1.051725595502262e-09,-8.352406766221065e-09,-1.97480076735701e-07,1.6488621668031556e-06,-7.746970368316397e-06,0.0013932657893747091,1.0520025289525193e-09,-8.352452625656957e-09,-1.9748007332100684e-07,-2.7832154501084005e-06,-8.188114406948444e-06,0.0013932454166933894
0.39900000000488944,1.4080718528930447e-06,-7.758566425764002e-06,0.0013932650908827782,1.0511607140273327e-09,-8.346955127080946e-09,-1.9655544747365639e-07,1.4067754818825051e-06,-7.758156243653502e-06,0.0013932650908827782,1.0514366817103969e-09,-8.347000724186303e-09,-1.965554440612732e-07,-2.775395614662557e-06,-8.197855095204432e-06,0.0013932314468547702
0.40499999999883585,1.0709750313253608e-06,-7.775085578032304e-06,0.001393261831253767,1.0506003844668044e-09,-8.34149460615663e-09,-1.956344846121283e-07,1.069678774001659e-06,-7.774679033900611e-06,0.001393261831253767,1.0508753899405374e-09,-8.34153994190695e-09,-1.956344812020566e-07,-2.767699243122479e-06,-8.207465725718066e-06,0.0013932175934314728
0.41000000000349246,8.071510251284053e-07,-7.788722541590687e-06,0.0013932574074715376,1.0500447178429795e-09,-8.336026979804956e-09,-1.9471715972940729e-07,8.058549951783789e-07,-7.788317816448398e-06,0.0013932574074715376,1.050318764632235e-09,-8.336072055161696e-09,-1.947171563216473e-07,-2.760041297733551e-06,-8.217031790991314e-06,0.0013932037400081754
0.41499999999359716,5.594030199063127e-07,-7.802228537912015e-06,0.001393251703120768,1.0494936031335556e-09,-8.330553136204344e-09,-1.9380344440378394e-07,5.58107103643124e-07,-7.801826541253831e-06,0.001393251703120768,1.0497666947583316e-09,-8.330597952129185e-09,-1.938034409983354e-07,-2.75242541647458e-06,-8.226531463151332e-06,0.0013931900030001998
0.41999999999825377,3.267824695285526e-07,-7.815608114469796e-06,0.001393244951032102,1.0489470403385326e-09,-8.325073075354794e-09,-1.9289331021354883e-07,3.2548666695220163e-07,-7.815207936801016e-06,0.001393244951032102,1.049219180283678e-09,-8.325117632800086e-09,-1.928933068104116e-07,-2.7448534183349693e-06,-8.235997484007385e-06,0.001393176382407546
0.4260000000067521,6.776657102136596e-08,-7.831411494407803e-06,0.0013932357542216778,1.0478670153801772e-09,-8.31409696644414e-09,-1.9108377102838858e-07,6.647096029155364e-08,-7.831014045223128e-06,0.0013932357542216778,1.0481372632616861e-09,-8.314141014689978e-09,-1.9108376762965557e-07,-2.7373002922104206e-06,-8.245429853559472e-06,0.0013931628782302141
0.4349999999976717,-2.805265353345021e-07,-7.854310752009042e-06,0.0013932220172137022,1.0468044209233085e-09,-8.303105758500351e-09,-1.8928835743281525e-07,-2.8182191158521164e-07,-7.853916940803174e-06,0.0013932220172137022,1.0470727897236044e-09,-8.303149296486034e-09,-1.8928835403869676e-07,-2.7243170279689366e-06,-8.261722541647032e-06,0.001393139478750527
0.4400000000023283,-4.6209407855712925e-07,-7.866926353017334e-06,0.0013932136353105307,1.0468044209233085e-09,-8.303105758500351e-09,-1.8928835743281525e-07,-4.633893126992916e-07,-7.86653436080087e-06,0.0013932136353105307,1.0470727897236044e-09,-8.303149296486034e-09,-1.8928835403869676e-07,-2.7243170279689366e-06,-8.261722541647032e-06,0.001393139478750527
0.444999999992433,-6.320418037830677e-07,-7.879661097831558e-06,0.0013932030415162444,1.0468044209233085e-09,-8.303105758500351e-09,-1.8928835743281525e-07,-6.333369242383924e-07,-7.879270924604498e-06,0.0013932030415162444,1.047072788909637e-09,-8.303149291492778e-09,-1.892883540389203e-07,-2.7153914743394125e-06,-8.272868399217259e-06,0.0013931234134361148
0.4499999999970896,-7.919926474642125e-07,-7.891984751040582e-06,0.001393193961121142,1.0462795074772657e-09,-8.297605269547148e-09,-1.8839590154584585e-07,-7.932875405458617e-07,-7.891595487308223e-06,0.001393193961121142,1.046546941077786e-09,-8.297648548774005e-09,-1.8839589815425964e-07,-2.707553221625858e-06,-8.282650924229529e-06,0.0013931093271821737
0.45600000000558794,-9.697764653537888e-07,-7.906633072707336e-06,0.0013931822031736374,1.045758923901019e-09,-8.292103004237106e-09,-1.8750691310742695e-07,-9.710712447486003e-07,-7.906245627964381e-06,0.0013931822031736374,1.0460254265528787e-09,-8.292146030619253e-09,-1.875069097181484e-07,-2.700064669625135e-06,-8.292024176626e-06,0.0013930958230048418
0.46000000000640284,-1.0821959222084843e-06,-7.916398317320272e-06,0.0013931735884398222,1.0452424481499634e-09,-8.286599850748644e-09,-1.8662139211755857e-07,-1.083490587916458e-06,-7.91601269156672e-06,0.0013931735884398222,1.0455080232624038e-09,-8.286642625217043e-09,-1.8662138873058634e-07,-2.6926716145680984e-06,-8.301271009258926e-06,0.0013930825516581535
