t,est_vx_w,est_vy_w,est_vz_w,gt_vx_w,gt_vy_w,gt_vz_w,est_vx_b,est_vy_b,est_vz_b,gt_vx_b,gt_vy_b,gt_vz_b
0.0,0.00028893566923215985,-6.126655080151977e-06,0.00042568467324599624,0.0,0.0,0.0,0.00028893531998619437,-6.123685579950688e-06,0.0004256849642843008,0.0,0.0,0.0
0.005,0.0003592630382627249,-7.632644155819435e-06,0.0008352016448043287,0.0,0.0,0.0,0.000359262281563133,-7.628864750586217e-06,0.0008352019940502942,0.0,0.0,0.0
0.009999999999999998,0.00023871258599683642,-8.041745786613319e-06,0.0010163690894842148,1.0511607140273327e-09,-8.346955127080946e-09,-1.9655544747365639e-07,0.00023871166922617704,-8.039102795009967e-06,0.0010163693223148584,1.0514366826223079e-09,-8.347000728818212e-09,-1.9655544406107163e-07
0.015,0.00012654218880925328,-8.158627679222263e-06,0.0010825209319591522,1.0506003844668044e-09,-8.34149460615663e-09,-1.956344846121283e-07,0.00012654119927901775,-8.15707153378753e-06,0.001082521048374474,1.0508753908250166e-09,-8.341539946583998e-09,-1.956344812018524e-07
0.02,5.908860839554109e-05,-8.196996532205958e-06,0.0011047818697988987,1.0506003844668044e-09,-8.34149460615663e-09,-1.956344846121283e-07,5.908760067541152e-05,-8.19609977043001e-06,0.0011047818697988987,1.0508753899405374e-09,-8.34153994190695e-09,-1.956344812020566e-07
0.024999999999999998,2.488338759576436e-05,-8.21426510810852e-06,0.001111910562030971,1.0500447178429795e-09,-8.336026979804956e-09,-1.9471715972940729e-07,2.4882372599677183e-05,-8.213703040382825e-06,0.0011119106784462929,1.050318764632235e-09,-8.336072055161696e-09,-1.947171563216473e-07
0.030000000000000002,9.064076948561706e-06,-8.225825695262756e-06,0.00111410953104496,1.0494936031335556e-09,-8.330553136204344e-09,-1.9380344440378394e-07,9.063060133485124e-06,-8.225419151131064e-06,0.0011141096474602818,1.0497666947583316e-09,-8.330597952129185e-09,-1.938034409983354e-07
0.035,2.1542296053667087e-06,-8.23584105091868e-06,0.0011147628538310528,1.0489470403385326e-09,-8.325073075354794e-09,-1.9289331021354883e-07,2.1532123355427757e-06,-8.235501809394918e-06,0.0011147628538310528,1.049219180283678e-09,-8.325117632800086e-09,-1.928933068104116e-07
0.04,-7.496944931517646e-07,-8.24541893962305e-06,0.0011149455094709992,1.0484048074133057e-09,-8.319587685434726e-09,-1.9198677136955666e-07,-7.507118198191165e-07,-8.245108801929746e-06,0.0011149455094709992,1.0486759991930457e-09,-8.319631985356166e-09,-1.9198676796873066e-07
0.045000000000000005,-1.9359347334102495e-06,-8.254865861090366e-06,0.0011149883503094316,1.0478670153801772e-09,-8.31409696644414e-09,-1.9108377102838858e-07,-1.9369520032341825e-06,-8.254567546828184e-06,0.0011149883503094316,1.0481372624240495e-09,-8.314141009778983e-09,-1.9108376762987384e-07
